Class,Text,Text_Clean
1,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/í_1.20 POBOXox36504W45WQ 16+",England v Macedonia dont miss goalsteam news Txt ur national team 87077 eg ENGLAND 87077 TryWALES SCOTLAND 4txtí120 POBOXox36504W45WQ 16
0,Is that seriously how you spell his name?,seriously spell name
0,IäóÖm going to try for 2 months ha ha only joking,IäóÖm going try 2 months ha ha joking
0,So í_ pay first lar... Then when is da stock comin...,í pay first lar da stock comin
0,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,Aft finish lunch go str lor Ard 3 smth lor U finish ur lunch already
0,Ffffffffff. Alright no way I can meet up with you sooner?,Ffffffffff Alright way meet sooner
0,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,forced eat slice Im really hungry tho sucks Mark getting worried knows Im sick turn pizza Lol
0,Lol your always so convincing.,Lol always convincing
0,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,catch bus frying egg make tea eating moms left dinner feel Love
0,"I'm back &amp; we're packing the car now, I'll let you know if there's room",Im back amp packing car Ill let know theres room
0,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,Ahhh Work vaguely remember feel like Lol
0,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",Wait thats still clear sure sarcastic thats x doesnt want live us
0,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,Yeah got 2 v apologetic n fallen actin like spoilt child got caught Till 2 wont go badly cheers
0,K tell me anything about you.,K tell anything
0,For fear of fainting with the of all that housework you just did? Quick have a cuppa,fear fainting housework Quick cuppa
1,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,Thanks subscription Ringtone UK mobile charged £5month Please confirm replying YES reply charged
0,Yup... Ok i go home look at the timings then i msg í_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,Yup Ok go home look timings msg í Xuhui going learn 2nd may lesson 8am
0,"Oops, I'll let you know when my roommate's done",Oops Ill let know roommates done
0,I see the letter B on my car,see letter B car
0,Anything lor... U decide...,Anything lor U decide
0,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,Hello Hows saturday go texting see youd decided anything tomo im trying invite anything
0,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,Pls go ahead watts wanted sure great weekend Abiola
0,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",forget tell want need crave love sweet Arabian steed Mmmmmm Yummy
1,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351 Rodger Burns MSG tried call reply sms free nokia mobile free camcorder Please call 08000930705 delivery tomorrow
0,WHO ARE YOU SEEING?,SEEING
0,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,Great hope like man well endowed ltgt inches
0,No calls..messages..missed calls,callsmessagesmissed calls
0,Didn't you get hep b immunisation in nigeria.,Didnt get hep b immunisation nigeria
0,"Fair enough, anything going on?",Fair enough anything going
0,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",Yeah hopefully tyler cant could maybe ask around bit
0,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,U dont know stubborn didnt even want go hospital kept telling Mark Im weak sucker Hospitals weak suckers
0,What you thinked about me. First time you saw me in class.,thinked First time saw class
0,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",gram usually runs like ltgt half eighth smarter though gets almost whole second gram ltgt
0,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,K fyi x ride early tomorrow morning hes crashing place tonight
0,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",Wow never realized embarassed accomodations thought liked since best could always seemed happy cave Im sorry didnt dont give Im sorry offered Im sorry room embarassing
1,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,SMS ac Sptv New Jersey Devils Detroit Red Wings play Ice Hockey Correct Incorrect End Reply END SPTV
0,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,know Mallika Sherawat yesterday Find ltURLgt
1,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",Congrats 1 year special cinema pass 2 call 09061209465 C Suprman V Matrix3 StarWars3 etc 4 FREE bx420ip45we 150pm Dont miss
0,"Sorry, I'll call later in meeting.",Sorry Ill call later meeting
0,Tell where you reached,Tell reached
0,Yes..gauti and sehwag out of odi series.,Yesgauti sehwag odi series
0,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,gonna pick 1 burger way home cant even move Pain killing
0,Ha ha ha good joke. Girls are situation seekers.,Ha ha ha good joke Girls situation seekers
0,Its a part of checking IQ,part checking IQ
0,"Sorry my roommates took forever, it ok if I come by now?",Sorry roommates took forever ok come
0,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,Ok lar double check wif da hair dresser already said wun cut v short said cut look nice
1,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",valued customer pleased advise following recent review Mob awarded £1500 Bonus Prize call 09066364589
0,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",Today song dedicated day song u dedicate Send ur valuable frnds first rply
1,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",Urgent UR awarded complimentary trip EuroDisinc Trav AcoEntry41 £1000 claim txt DIS 87121 186£150moreFrmMob ShrAcomOrSglSuplt10 LS1 3AJ
1,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",hear new Divorce Barbie comes Kens stuff
0,I plane to give on this month end.,plane give month end
0,Wah lucky man... Then can save money... Hee...,Wah lucky man save money Hee
0,Finished class where are you.,Finished class
0,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,HI BABE IM HOME WANNA SOMETHING XX
0,K..k:)where are you?how did you performed?,Kkwhere youhow performed
0,U can call me now...,U call
0,I am waiting machan. Call me once you free.,waiting machan Call free
0,Thats cool. i am a gentleman and will treat you with dignity and respect.,Thats cool gentleman treat dignity respect
0,I like you peoples very much:) but am very shy pa.,like peoples much shy pa
0,Does not operate after  &lt;#&gt;  or what,operate ltgt
0,Its not the same here. Still looking for a job. How much do Ta's earn there.,Still looking job much Tas earn
0,"Sorry, I'll call later",Sorry Ill call later
0,K. Did you call me just now ah? ,K call ah
0,Ok i am on the way to home hi hi,Ok way home hi hi
0,You will be in the place of that man,place man
0,Yup next stop.,Yup next stop
0,"I call you later, don't have network. If urgnt, sms me.",call later dont network urgnt sms
0,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,real u getting yo need 2 tickets one jacket Im done already used multis
0,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,Yes started send requests make pain came back Im back bed Double coins factory gotta cash nitros
0,I'm really not up to it still tonight babe,Im really still tonight babe
0,"Ela kano.,il download, come wen ur free..",Ela kanoil download come wen ur free
0,Yeah do! DonäóÖt stand to close tho- youäóÖll catch something!,Yeah DonäóÖt stand close tho youäóÖll catch something
0,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,Sorry pain ok meet another night spent late afternoon casualty means havent done stuff42moro includes time sheets Sorry
0,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,Smile Pleasure Smile Pain Smile trouble pours like Rain Smile sum1 Hurts U Smile becoz SOMEONE still Loves see u Smiling
1,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,Please call customer service representative 0800 169 6031 10am9pm guaranteed £1000 cash £5000 prize
0,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,Havent planning buy later check already lido got 530 show e afternoon U finish work already
1,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",free ringtone waiting collected Simply text password MIX 85069 verify Get Usher Britney FML
0,Watching telugu movie..wat abt u?,Watching telugu moviewat abt u
0,i see. When we finish we have loads of loans to pay,see finish loads loans pay
0,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",Hi Wk ok hols Yes bit run Forgot hairdressers appointment four need get home n shower beforehand cause prob u ham
0,Please don't text me anymore. I have nothing else to say.,Please dont text anymore nothing else say
0,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,Okay name ur price long legal Wen pick u ave x ams xx
0,I'm still looking for a car to buy. And have not gone 4the driving test yet.,Im still looking car buy gone 4the driving test yet
0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request Melle Melle Oru Minnaminunginte Nurungu Vettam set callertune Callers Press 9 copy friends Callertune
0,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",wow Youre right didnt mean guess gave boston men changed search location nyc something changed Cuz signin page still says boston
0,Umma my life and vava umma love you lot dear,Umma life vava umma love lot dear
0,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,Thanks lot wishes birthday Thanks making birthday truly memorable
0,"Aight, I'll hit you up when I get some cash",Aight Ill hit get cash
0,How would my ip address test that considering my computer isn't a minecraft server,would ip address test considering computer isnt minecraft server
0,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,know Grumpy old people mom like better lying always one play jokes
0,Dont worry. I guess he's busy.,Dont worry guess hes busy
0,What is the plural of the noun research?,plural noun research
0,Going for dinner.msg you after.,Going dinnermsg
0,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,Im ok wif cos like 2 try new things scared u dun like mah Cos u said loud
1,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,GENT trying contact Last weekends draw shows £1000 prize GUARANTEED Call 09064012160 Claim Code K52 Valid 12hrs 150ppm
0,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",Wa ur openin sentence formal Anyway im fine juz tt im eatin much n puttin weightHaha anythin special happened
0,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",entered cabin PA said Happy Bday Boss felt special askd 4 lunch lunch invited apartment went
1,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,winner U specially selected 2 receive £1000 4 holiday flights inc speak live operator 2 claim 0871277810910pmin 18
0,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,Goodo Yes must speak friday eggpotato ratio tortilla needed
0,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,Hmmmy uncle informed hes paying school directly pls buy food
1,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,PRIVATE 2004 Account Statement 07742676969 shows 786 unredeemed Bonus Points claim call 08719180248 Identifier Code 45239 Expires
1,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",URGENT Mobile awarded £2000 Bonus Caller Prize 5903 final try contact U Call Landline 09064019788 BOX42WR29C 150PPM
0,here is my new address -apples&pairs&all that malarky,new address applespairsall malarky
1,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,Todays Voda numbers ending 7548 selected receive 350 award match please call 08712300220 quoting claim code 4041 standard rates app
0,I am going to sao mu today. Will be done only at 12 ,going sao mu today done 12
0,íì predict wat time í_'ll finish buying?,íì predict wat time íll finish buying
0,"Good stuff, will do.",Good stuff
0,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",knowyetunde hasnt sent money yet sent text bother sending dont involve anything shouldnt imposed anything first place apologise
0,Are you there in room.,room
0,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,HEY GIRL R U HOPE U R WELL DEL R BAK LONG TIME C GIVE CALL SUM TIME LUCYxx
0,K..k:)how much does it cost?,Kkhow much cost
0,I'm home.,Im home
0,"Dear, will call Tmorrow.pls accomodate.",Dear call Tmorrowpls accomodate
0,First answer my question.,First answer question
1,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,Sunshine Quiz Wkly Q Win top Sony DVD player u know country Algarve Txt ansr 82277 £150 SPTyrone
1,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,Want 2 get laid tonight Want real Dogging locations sent direct 2 ur mob Join UKs largest Dogging Network bt Txting GRAVEL 69888 Nt ec2a 31pmsg150p
0,I only haf msn. It's yijue@hotmail.com,haf msn yijuehotmailcom
0,He is there. You call and meet him,call meet
0,No no. I will check all rooms befor activities,check rooms befor activities
1,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,Youll rcv msgs chat svc FREE Hardcore services text GO 69988 u get nothing u must Age Verify yr network try
0,Got c... I lazy to type... I forgot í_ in lect... I saw a pouch but like not v nice...,Got c lazy type forgot í lect saw pouch like v nice
0,"K, text me when you're on the way",K text youre way
0,"Sir, Waiting for your mail.",Sir Waiting mail
0,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",swt thought Nver get tired little things 4 lovable persons Cozsomtimes little things occupy biggest part Hearts Gud ni8
0,I know you are. Can you pls open the back?,know pls open back
0,Yes see ya not on the dot,Yes see ya dot
0,Whats the staff name who is taking class for us?,Whats staff name taking class us
1,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",FreeMsg havent replied text Im Randy sexy female live local Luv hear u Netcollex Ltd 08700621170150p per msg reply Stop end
0,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,Ummmawill call check inour life begin qatar pls pray hard
0,K..i deleted my contact that why?,Ki deleted contact
0,Sindu got job in birla soft ..,Sindu got job birla soft
0,The wine is flowing and i'm i have nevering..,wine flowing im nevering
0,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,Yup thk cine better cos need 2 go 2 plaza mah
0,Ok... Ur typical reply...,Ok Ur typical reply
0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request Melle Melle Oru Minnaminunginte Nurungu Vettam set callertune Callers Press 9 copy friends Callertune
0,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",everywhere dirt floor windows even shirt sometimes open mouth comes flowing dream world without half chores time joy lots tv shows ill see guess like things must exist like rain hail mist time done become one
0,Aaooooright are you at work?,Aaooooright work
0,I'm leaving my house now...,Im leaving house
0,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",Hello love get interview today happy good boy think meAre missing
1,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,Customer service annoncement New Years delivery waiting Please call 07046744435 arrange delivery
1,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,winner U specially selected 2 receive £1000 cash 4 holiday flights inc speak live operator 2 claim 0871277810810
0,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,Keep safe need miss already envy everyone sees real life
0,New car and house for my parents.:)i have only new job in hand:),New car house parentsi new job hand
0,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,Im love Im excited day spend make happy
1,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,PLS STOP bootydelious 32F inviting friend Reply YES434 NO434 See wwwSMSacubootydelious STOP Send STOP FRND 62468
1,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",BangBabes Ur order way U receive Service Msg 2 download UR content U GoTo wap bangb tv UR mobile internetservice menu
0,I place all ur points on e cultures module already.,place ur points e cultures module already
1,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,URGENT trying contact Last weekends draw shows £900 prize GUARANTEED Call 09061701939 Claim code S89 Valid 12hrs
0,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",Hi frnd best way avoid missunderstding wit beloved ones
0,Great escape. I fancy the bridge but needs her lager. See you tomo ,Great escape fancy bridge needs lager See tomo
0,Yes :)it completely in out of form:)clark also utter waste.,Yes completely formclark also utter waste
0,"Sir, I need AXIS BANK account no and bank address.",Sir need AXIS BANK account bank address
0,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",Hmmm Thk sure got time hop ard Ya go 4 free abt Muz call u discuss liao
0,What time you coming down later? ,time coming later
0,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",Bloody hell cant believe forgot surname Mr Ill give u clue spanish begins
0,"Well, i'm gonna finish my bath now. Have a good...fine night.",Well im gonna finish bath goodfine night
0,Let me know when you've got the money so carlos can make the call,Let know youve got money carlos make call
0,U still going to the mall?,U still going mall
0,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",Turns friends staying whole show wont back til ltgt feel free go ahead smoke ltgt worth
0,Text her. If she doesnt reply let me know so i can have her log in,Text doesnt reply let know log
0,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,Hi spoke MANEESHA V Wed like know satisfied experience Reply Toll Free Yes
0,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,lifted hopes offer money need Especially end month approaches hurts studying Anyways gr8 weekend
0,Lol no. U can trust me.,Lol U trust
0,ok. I am a gentleman and will treat you with dignity and respect.,ok gentleman treat dignity respect
0,"He will, you guys close?",guys close
0,Going on nothing great.bye,Going nothing greatbye
0,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,Hello handsome finding job lazy Working towards getting back net mummy Wheres boytoy miss
0,"Haha awesome, be there in a minute",Haha awesome minute
1,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,Please call customer service representative FREEPHONE 0808 145 4742 9am11pm guaranteed £1000 cash £5000 prize
0,Have you got Xmas radio times. If not i will get it now,got Xmas radio times get
0,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,jus reached home go bathe first sis using net tell u finishes k
1,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,unique enough Find 30th August wwwareyouuniquecouk
0,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,Im sorry Ive joined league people dont keep touch mean great deal friend times even great personal cost great week
0,Hi :)finally i completed the course:),Hi finally completed course
0,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,stop however suggest stays someone able give ors every stool
0,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,Hope youve settled new school year wishin gr8 day
0,Gud mrng dear hav a nice day,Gud mrng dear hav nice day
0,Did u got that persons story,u got persons story
0,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,hamster dead Hey tmr meet 1pm orchard mrt
0,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,Hi Kate evening hope see tomorrow bit bloody babyjontet Txt back u xxx
0,"Found it, ENC  &lt;#&gt; , where you at?",Found ENC ltgt
0,I sent you  &lt;#&gt;  bucks,sent ltgt bucks
0,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,Hello darlin ive finished college txt u finish u love Kate xxx
0,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,account refilled successfully INR ltDECIMALgt KeralaCircle prepaid account balance Rs ltDECIMALgt Transaction ID KR ltgt
0,Goodmorning sleeping ga.,Goodmorning sleeping ga
0,U call me alter at 11 ok.,U call alter 11 ok
0,íì say until like dat i dun buy ericsson oso cannot oredi lar...,íì say like dat dun buy ericsson oso cannot oredi lar
0,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",entered cabin PA said Happy Bday Boss felt special askd 4 lunch lunch invited apartment went
0,"Aight yo, dats straight dogg",Aight yo dats straight dogg
0,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,please give us connection today ltDECIMALgt refund bill
0,Both :) i shoot big loads so get ready!,shoot big loads get ready
0,"What's up bruv, hope you had a great break. Do have a rewarding semester.",Whats bruv hope great break rewarding semester
0,Home so we can always chat,Home always chat
0,K:)k:)good:)study well.,Kkgoodstudy well
0,Yup... How í_ noe leh...,Yup í noe leh
0,Sounds great! Are you home now?,Sounds great home
0,Finally the match heading towards draw as your prediction.,Finally match heading towards draw prediction
0,Tired. I haven't slept well the past few nights.,Tired havent slept well past nights
0,Easy ah?sen got selected means its good..,Easy ahsen got selected means good
0,I have to take exam with march 3,take exam march 3
0,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,Yeah think use gt atm register sure theres anyway help let know sure ready
0,Ok no prob. Take ur time.,Ok prob Take ur time
0,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,os called ubandu run without installing hard diskyou use os copy important files system give repair shop
0,"Sorry, I'll call later",Sorry Ill call later
0,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,U say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh
1,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",500 New Mobiles 2004 MUST GO Txt NOKIA 89545 collect todayFrom £1 www4tcbiz 2optout 08718726270150gbpmtmsg18
0,Would really appreciate if you call me. Just need someone to talk to.,Would really appreciate call need someone talk
1,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",u meet ur dream partner soon ur career 2 flyng start 2 find free txt HORO followed ur star sign e g HORO ARIES
0,Hey company elama po mudyadhu.,Hey company elama po mudyadhu
